Date,Temperature,Humidity
1561812537.3366737,24.2,46.0
1561812560.0474977,24.2,46.0
1561812620.05816,24.2,46.0
1561812680.0692503,24.2,46.0
1561812740.0800073,24.2,46.0
1561812800.0907393,24.2,46.0
1561812860.1009216,24.2,46.0
1561812920.1119475,24.2,46.0
1561812980.1222486,24.2,46.0
1561813040.1334736,24.2,45.0
1561813100.144031,24.2,45.0
1561813160.1547217,24.2,45.0
1561813220.1657662,24.3,45.0
1561813280.1768942,24.3,46.0
1561813294.2899113,24.3,45.0
1561813354.3004155,24.3,46.0
1561813414.3119395,24.3,46.0
1561813474.3222802,24.2,46.0
1561813534.333028,24.2,46.0
1561813594.3437102,24.2,46.0
1561813654.3546016,24.2,46.0
1561813714.3654864,24.2,46.0
1561813774.3757546,24.2,46.0
1561813834.3866441,24.2,47.0
1561813894.3974416,24.3,46.0
1561813954.4083326,24.3,46.0
1561814014.4186413,24.3,46.0
1561814074.429856,24.3,46.0
1561814134.4408097,24.3,46.0
1561814194.4518697,24.3,46.0
1561814254.4620407,24.4,46.0
1561814314.4729815,24.3,46.0
1561814374.484232,24.3,46.0
1561814434.4950447,24.3,45.0
1561814494.504956,24.3,45.0
1561814554.5162878,24.2,45.0
1561814614.5264876,24.3,46.0
1561814674.5380046,24.3,46.0
1561814734.548141,24.2,46.0
1561814794.5590968,24.3,46.0
1561814854.5698555,24.2,46.0
1561814914.5806155,24.2,46.0
1561814974.590966,24.2,46.0
1561815034.6023178,24.3,46.0
1561815094.6130667,24.2,46.0
1561815154.6236935,24.2,46.0
1561815214.6339412,24.2,46.0
1561815274.6451354,24.3,46.0
1561815334.6555815,24.3,46.0
1561815394.666347,24.2,46.0
1561815454.6774888,24.2,46.0
1561815514.6879935,24.2,46.0
1561815574.6992867,24.2,46.0
1561815634.709773,24.2,46.0
1561815694.7204378,24.2,46.0
1561815754.7311223,24.2,46.0
1561815814.7417536,24.2,46.0
1561815874.7530444,24.2,46.0
1561815934.7639706,24.2,46.0
1561815994.7741938,24.2,46.0
1561816054.7849607,24.3,46.0
1561816114.7957199,24.2,46.0
1561816174.806417,24.2,46.0
1561816234.8174887,24.2,46.0
1561816294.8279176,24.2,46.0
1561816354.8388987,24.2,47.0
1561816414.849478,24.2,46.0
1561816474.8607094,24.2,46.0
1561816534.870951,24.2,46.0
1561816594.881647,24.3,46.0
1561816654.8917625,24.2,46.0
1561816714.9027858,24.2,46.0
1561816774.913918,24.2,46.0
1561816834.9244099,24.3,45.0
1561816894.935377,24.3,46.0
1561816954.946026,24.3,46.0
1561817014.9571707,24.2,46.0
1561817074.9672506,24.2,46.0
1561817134.9785104,24.3,45.0
1561817194.9890199,24.2,45.0
1561817255.0000627,24.2,45.0
1561817315.011094,24.3,45.0
1561817375.0216417,24.2,45.0
1561817435.032351,24.3,45.0
1561817495.043318,24.3,45.0
